x,y,u,v,S
68.810844,-7.505609,1.015041,-0.000315,1.466420
68.810837,9.138728,1.014183,0.000425,1.461042
68.810837,-9.175611,1.014132,-0.000431,1.460867
66.249046,-19.195309,1.006706,-0.000688,1.459547
66.249046,19.198673,1.006714,0.000699,1.459538
68.810867,-5.818785,1.006713,0.000047,1.457812
66.249054,-4.134951,0.967616,0.000932,1.457738
66.249062,4.107605,0.966269,-0.001034,1.455746
68.810875,5.792329,1.004760,-0.000112,1.455029
68.810837,-10.783262,1.012661,-0.000498,1.453916
68.810837,10.811271,1.012648,0.000500,1.453806
68.810837,-12.478012,1.011180,-0.000554,1.445926
68.810837,12.503647,1.011173,0.000559,1.445821
58.725590,-0.841661,0.847190,0.000983,1.442478
58.725586,0.821661,0.845684,-0.000937,1.439921
68.810837,-14.143772,1.009848,-0.000601,1.437518
68.810837,14.165774,1.009841,0.000608,1.437418
68.810837,-15.743662,1.008697,-0.000642,1.428974
68.810837,15.760216,1.008695,0.000650,1.428897
68.810837,-17.429998,1.007627,-0.000681,1.419511
68.810837,17.440325,1.007631,0.000691,1.419467
63.747601,2.451031,0.905247,-0.001438,1.419002
63.747601,-2.447975,0.904859,0.001461,1.418396
68.810837,19.198675,1.006650,0.000732,1.409105
68.810837,-19.195313,1.006633,-0.000721,1.409100
68.810898,-4.134953,0.966344,0.000845,1.401819
68.810898,4.107605,0.965031,-0.000959,1.399948
61.238827,-0.841660,0.849766,0.000815,1.387496
61.238831,0.821662,0.847786,-0.000934,1.384270
66.249123,2.451034,0.905271,-0.001445,1.365533
66.249123,-2.447974,0.904995,0.001364,1.365118
63.747776,-0.841661,0.852150,0.000684,1.336637
63.747791,0.821661,0.849616,-0.000833,1.332667
68.810890,2.451031,0.905297,-0.001391,1.314798
68.810890,-2.447975,0.905186,0.001192,1.314639
66.249222,-0.841661,0.854273,0.000636,1.289381
66.249229,0.821661,0.851372,-0.000811,1.285006
68.810844,-0.841661,0.856309,0.000527,1.244347
68.810837,0.821661,0.853135,-0.000847,1.239738
